,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
272,0.701,0.539,2,-8.968,1,0.0277,0.000655,0.005,0.0589,0.752,107.531,audio_features,0z1b34WikhOH9ZxU8QDWcv,spotify:track:0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/tracks/0z1b34WikhOH9ZxU8QDWcv,https://api.spotify.com/v1/audio-analysis/0z1b34WikhOH9ZxU8QDWcv,312627,4
273,0.74,0.752,9,-7.008,0,0.0359,0.0409,0.00125,0.0233,0.939,114.851,audio_features,0cELvuwJW1acISUHYB6suj,spotify:track:0cELvuwJW1acISUHYB6suj,https://api.spotify.com/v1/tracks/0cELvuwJW1acISUHYB6suj,https://api.spotify.com/v1/audio-analysis/0cELvuwJW1acISUHYB6suj,248093,4
274,0.52,0.652,5,-6.655,1,0.0274,0.34,5.49E-05,0.256,0.722,80.609,audio_features,6kvoHl80mfCVTv7XnZkjQn,spotify:track:6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/tracks/6kvoHl80mfCVTv7XnZkjQn,https://api.spotify.com/v1/audio-analysis/6kvoHl80mfCVTv7XnZkjQn,258787,4
275,0.49,0.873,6,-5.861,1,0.0355,0.107,5.19E-06,0.118,0.513,103.272,audio_features,1OFKUn2VLafrHj7ybnap0Q,spotify:track:1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/tracks/1OFKUn2VLafrHj7ybnap0Q,https://api.spotify.com/v1/audio-analysis/1OFKUn2VLafrHj7ybnap0Q,229587,4
276,0.775,0.924,8,-3.723,1,0.0467,0.111,0.0262,0.363,0.666,121.284,audio_features,6Rqw1jey72hy6LCSotsFS7,spotify:track:6Rqw1jey72hy6LCSotsFS7,https://api.spotify.com/v1/tracks/6Rqw1jey72hy6LCSotsFS7,https://api.spotify.com/v1/audio-analysis/6Rqw1jey72hy6LCSotsFS7,206600,4
277,0.69,0.805,5,-11.522,0,0.0336,0.000232,0.739,0.095,0.799,127.808,audio_features,3L9RIFcNF9IDGPRE96EO7N,spotify:track:3L9RIFcNF9IDGPRE96EO7N,https://api.spotify.com/v1/tracks/3L9RIFcNF9IDGPRE96EO7N,https://api.spotify.com/v1/audio-analysis/3L9RIFcNF9IDGPRE96EO7N,264280,4
278,0.703,0.997,9,-7.666,0,0.0399,0.0726,0.0235,0.123,0.391,132.872,audio_features,4ih3dyFZoeTdaeJW9mPbOI,spotify:track:4ih3dyFZoeTdaeJW9mPbOI,https://api.spotify.com/v1/tracks/4ih3dyFZoeTdaeJW9mPbOI,https://api.spotify.com/v1/audio-analysis/4ih3dyFZoeTdaeJW9mPbOI,257467,4
279,0.728,0.784,11,-11.776,1,0.0379,0.0449,0.0918,0.0964,0.964,129.981,audio_features,59VRFpPnC8pOhIH2WCWXF9,spotify:track:59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/tracks/59VRFpPnC8pOhIH2WCWXF9,https://api.spotify.com/v1/audio-analysis/59VRFpPnC8pOhIH2WCWXF9,247406,4
280,0.812,0.879,1,-10.998,0,0.0397,0.0167,0.224,0.366,0.962,129.991,audio_features,5ZrDlcxIDZyjOzHdYW1ydr,spotify:track:5ZrDlcxIDZyjOzHdYW1ydr,https://api.spotify.com/v1/tracks/5ZrDlcxIDZyjOzHdYW1ydr,https://api.spotify.com/v1/audio-analysis/5ZrDlcxIDZyjOzHdYW1ydr,197960,4
281,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,audio_features,1H5tvpoApNDxvxDexoaAUo,spotify:track:1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/tracks/1H5tvpoApNDxvxDexoaAUo,https://api.spotify.com/v1/audio-analysis/1H5tvpoApNDxvxDexoaAUo,198400,4
282,0.949,0.661,5,-4.244,0,0.0572,0.0302,0,0.0454,0.76,104.504,audio_features,3yfqSUWxFvZELEM4PmlwIR,spotify:track:3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/tracks/3yfqSUWxFvZELEM4PmlwIR,https://api.spotify.com/v1/audio-analysis/3yfqSUWxFvZELEM4PmlwIR,284200,4
